kaynak,havalimani_kodu,havalimani_adi,sehir,ulke,salon_adi,terminal,bolum,kapsam,isletmeci,notlar
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,Turkish Airlines Lounge — İç Hat (Business),İç Hatlar,business,domestic,Turkish Airlines,"24 saat açık. Kullanım süresi 4 saat, uçuştan 4 saat önce başlar; gecikmede devam eder İKİ BÖLÜMLÜ SALON: Business kabin yolcuları ve Elite Plus kartlılar BUSINESS bölümüne; ekonomi kabinde seyahat eden Elite, Classic Plus, Star Alliance Gold, Platinum, Corporate kartlılar ve ücret/mil karşılığı girenler MILES&SMILES bölümüne girer. Ücret ödeyerek giren yolcu yalnızca Miles&Smiles bölümünü kullanabilir."
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,iGA Lounge — Dış Hat,Dış Hat,,international,IGA,
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,iGA Lounge — İç Hat,İç Hat,,domestic,IGA,DragonPass dizini terminal ayrimi yapmiyor; ic hat DOGRULANMADI.
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,Turkish Airlines Lounge — Dış Hat (Business),Dış Hat,business,international,Turkish Airlines,"[v0.21] SQL katalogundan (lounge_venues · airport_code=IST · active) olculerek EKLENDI. Onceden bu iki kayit CSV'de YOKTU: lib/guide.js dis hattaki Business / Miles&Smiles bolum ayrimini anlatiyordu ama salon listesinde IST'te tek bir dis hat THY salonu bile yoktu. IKI BOLUMLU SALON: Business bolumunde kimsenin misafir hakki yoktur; misafirle girecek yolcu Miles&Smiles bolumune gider. Priority Pass bu salonda GECMEZ."
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,Turkish Airlines Lounge — Dış Hat (Miles&Smiles),Dış Hat,miles_smiles,international,Turkish Airlines,"[v0.21] SQL katalogundan (lounge_venues · airport_code=IST · active) olculerek EKLENDI. Misafir hakkini tasiyan bolum burasidir. Priority Pass bu salonda GECMEZ."
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,iGA Pop-up Lounge — Dış Hat,Dış Hat,,international,IGA,"[v0.21] SQL katalogundan olculerek EKLENDI. Kart agi kabulu: Priority Pass, LoungeKey, DragonPass (kaynak: saglayicilarin kendi Turkiye sayfalari, 7 Agu 2026 ekran goruntuleri)."
yurtici,RZV,Rize-Artvin Havalimanı,Rize / Artvin,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,SAW,İstanbul Sabiha Gökçen Uluslararası Havalimanı,İstanbul,Türkiye,Aeroport Lounge,Dom. Terminal,,both,,lounges tablosundan otomatik aktarildi (086)
yurtici,SAW,İstanbul Sabiha Gökçen Uluslararası Havalimanı,İstanbul,Türkiye,Kepler Club — Dış Hat,Dış Hat,,international,Kepler,"Saatlik oda satılır: tek kişilik 18 €, iki kişilik 25 €, deluxe 40 €, VIP 50 €, duş 17 € (servis ve vergi dâhil). Üyelik hakkıyla ücretsiz giriş yoktur."
yurtici,SAW,İstanbul Sabiha Gökçen Uluslararası Havalimanı,İstanbul,Türkiye,Plaza Premium Bosphorus Lounge — Dış Hat,Dış Hat,,international,Plaza Premium,DragonPass dizininde bu isim GORULMEDI.
yurtici,SAW,İstanbul Sabiha Gökçen Uluslararası Havalimanı,İstanbul,Türkiye,Plaza Premium Lounge — İç Hat,İç Hat,,domestic,Plaza Premium,
yurtici,SAW,İstanbul Sabiha Gökçen Uluslararası Havalimanı,İstanbul,Türkiye,Primeclass Lounge,Int. Terminal,,both,,lounges tablosundan otomatik aktarildi (086)
yurtici,SAW,İstanbul Sabiha Gökçen Uluslararası Havalimanı,İstanbul,Türkiye,Turkish Airlines CIP Lounge — İç Hat,İç Hat,,domestic,THY,"AJet ic hat CIP salonu. Giris penceresi SAW'a OZEL: baslangic noktasi SAW ise en erken 3 saat, baglantili ucus ise en erken 4 saat once. Not: AJet sayfasinda gecmiste bir yenileme donemi duyurulmustu; GECICI operasyonel durumlar KURALA GOMULMEZ, gerekirse BO'dan salon pasife alinir. · AJet/THY kaynağı: Sabiha Gökçen CIP Lounge 3 Nisan itibarıyla geçici olarak hizmet dışı olabilir — gitmeden önce doğrula."
yurtici,TZX,Trabzon Uluslararası Havalimanı,Trabzon,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtdisi,ABJ,Felix Houphouet Boigny Uluslararası Havalimanı,Abidjan,Fildişi Sahili,Aeria VIP,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,ABV,Nnamdi Azikiwe Havalimanı,Abuja,Nijerya,Lounge Sds,International Terminal,,both,,Hizmet saatleri: 04:00-24:00
yurtdisi,ACC,Kotoka Uluslararası Havalimanı,Akra,Gana,Sanbra Priority,3. Terminal,,both,,Hizmet saatleri: 5:00 - 01:00
yurtdisi,ADD,Bole Uluslararası Havalimanı,Addis Ababa,Etiyopya,Cloud Nine,2. Terminal,,both,Ethiopian Airlines,Hizmet saatleri: 7 gün 24 saat
yurtdisi,AGP,Malaga-Costa Del Sol Havalimanı,Malaga,İspanya,Sala VIP T3,3. Terminal,,both,,Hizmet saatleri: 5:30 - 22:30
yurtdisi,ALA,Almatı Uluslararası Havalimanı,Almatı,Kazakistan,Extime Lounge,International Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,ALG,Houari Boumediene Havalimanı,Dar El Beida,Cezayir,Air Algerie Catering,Terminal 4,,both,Air Algerie,Hizmet saatleri: Uçuş Saatleri
yurtdisi,ALG,Houari Boumediene Havalimanı,Dar El Beida,Cezayir,Salon Sgsia,2. Salon,,both,,Hizmet saatleri: Uçuş Saatleri
yurtdisi,AMM,Kraliçe Aliye Uluslararası Havalimanı,Amman,Ürdün,Crown,1. Terminal,,both,Royal Jordanian,Hizmet saatleri: 7 gün 24 saat
yurtdisi,AMS,Amsterdam Schiphol Havalimanı,Amsterdam,Hollanda,Aspire Lounge,Ana Bina Terminali,,both,Aspire,Hizmet saatleri: 06:00 - 22:00
yurtdisi,AMS,Amsterdam Schiphol Havalimanı,Amsterdam,Hollanda,Aspire Lounge 26,Lounge 26 (Non-Schengen),,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,AQJ,Kral Hüseyin Uluslararası Havalimanı,Akabe,Ürdün,Aqaba Lounge,1. Terminal,,both,,Hizmet saatleri: Pazartesi 22:05-01:05; Çarşamba 23:55-02:55; Cuma 22:05-01:05. Sadece 3 gün açık — çok dar pencere
yurtdisi,ATH,Atina Uluslararası Havalimanı,Atina,Yunanistan,Goldair Handling,A Terminali,,both,Goldair Handling,Hizmet saatleri: 7 gün 24 saat
yurtdisi,ATL,Hartsfield-Jackson Havalimanı,Atlanta,ABD,The Club,Concourse F Terminali,,both,,Hizmet saatleri: 6:00 - 22:00
yurtdisi,AUH,Abu Dabi Uluslararası Havalimanı,Abu Dabi,Birleşik Arap Emirlikleri,Pearl Lounge,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BAH,Bahreyn Uluslararası Havalimanı,Muharrak,Bahreyn,Pearl Lounge,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BCN,Barselona El Prat Havalimanı,Barselona,İspanya,VIP Joan Miró,T1 Terminali,,both,,Hizmet saatleri: 5:00 - 23:00
yurtdisi,BEG,Nikola Tesla Havalimanı,Belgrad,Sırbistan,Air Serbia Premium Lounge,1. Terminal,,both,Air Serbia,Hizmet saatleri: 5:00 - 18:00
yurtdisi,BER,Brandenburg Havalimanı,Berlin,Almanya,Lufthansa Star Alliance Lounge,1. Terminal,,both,Lufthansa,Hizmet saatleri: 5:00 - 20:30
yurtdisi,BER,Brandenburg Havalimanı,Berlin,Almanya,Tempelhof,1. Terminal,,both,,Hizmet saatleri: 5:00 - 21:00
yurtdisi,BEY,Refik Hariri Uluslararası Havalimanı,Beyrut,Lübnan,Ahlein,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BGW,Bağdat International Airport,Bağdat,Irak,Bağdat Lounge,1. Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BHX,Birmingham Havalimanı,Birmingham,Birleşik Krallık (İngiltere),Lounges 1,Hava Sahası,,both,,Hizmet saatleri: 5:00 - 21:00
yurtdisi,BIO,Bilbao Havalimanı,Bilbao,İspanya,Sala VIP,1. Terminal,,both,,Hizmet saatleri: 5:30 - 22:15
yurtdisi,BJL,Banjul Uluslararası Havalimanı,Banjul,Gambiya,Roumieh,Uluslararası Gidiş Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BKK,Bangkok Suvarnabhumi Uluslararası Havalimanı,Bangkok,Tayland,Turkish Airlines Lounge,"Concourse D, D8 kapısını geçince sağda / Uluslararası Terminal",,both,Turkish Airlines,"24 saat. 15 dk ücretsiz masaj, uyku alanı, VIP oda"
yurtdisi,BKO,Modibo Keita Uluslararası Havalimanı,Bamako,Mali,Bravia Platinum,1. Terminali,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BLL,Billund Havalimanı,Billund,Danimarka,King Amlet,Ana Terminal,,both,,Hizmet saatleri: Ulusal tatillere veya mevsimlere göre değişir
yurtdisi,BLQ,Guglielmo Marconi Havalimanı,Bolonya,İtalya,Marconi,Ana Terminal,,both,,Hizmet saatleri: 5:00 - 21:00. TADİLAT DOLAYISIYLA GEÇİCİ OLARAK KAPALI
yurtdisi,BOD,Bordeaux-Mérignac Havalimanı,Bordo,Fransa,Myairport Lounge Hall,A Terminali,,both,,Hizmet saatleri: 11:30-14:00
yurtdisi,BOG,El Dorado Uluslararası Havalimanı,Bogota,Kolombiya,Avianca VIP,Uluslararası Terminal,,both,Avianca,Hizmet saatleri: 4:00 - 23:00
yurtdisi,BOG,El Dorado Uluslararası Havalimanı,Bogota,Kolombiya,Copa Club,1. Terminal,,both,Copa Airlines,Hizmet saatleri: 3:00 - 21:00
yurtdisi,BOM,Chhatrapati Shivaji Uluslararası Havalimanı,Mumbai,Hindistan,Adani,2. Terminal,,both,Adani,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BOS,Logan Uluslararası Havalimanı,Boston,ABD,Lufthansa,E Terminali,,both,Lufthansa,Hizmet saatleri: 12:15-21:30
yurtdisi,BRE,Bremen Havalimanı,Bremen,Almanya,LUFTHANSA,1. Terminal,,both,Lufthansa,Hizmet saatleri: 5:00 - 21:00
yurtdisi,BRE,Bremen Havalimanı,Bremen,Almanya,The Lounge,Terminal 1,,both,,Hizmet saatleri: 5:00 - 21:00
yurtdisi,BRI,Bari Havalimanı,Bari,İtalya,Executive,Hava Sahası / Biniş Alanı,,both,,Hizmet saatleri: 5:00 - 22:00
yurtdisi,BRU,Brüksel Havalimanı,Brüksel,Belçika,Diamond,Non schengen Terminali,,both,,Hizmet saatleri: 5:00 - 22:00
yurtdisi,BSL,Mulhouse Freiburg Havalimanı,Basel,İsviçre,Skyview,Y Terminali,,both,,Hizmet saatleri: 5:30 - 20:30. Havalimanı BSL/MLH/EAP kodlarıyla da anılır
yurtdisi,BSR,Basra Uluslararası Havalimanı,Basra,Irak,Royal,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,BUD,Ferenc Liszt Uluslararası Havalimanı,Budapeşte,Macaristan,Platinum Lounge,1. Terminali,,both,,Hizmet saatleri: 05:00 - 20:00
yurtdisi,BUS,Batum Uluslararası Havalimanı,Batum,Gürcistan,Primeclass,Ana Terminal,,both,Primeclass,Hizmet saatleri: 7 gün 24 saat
yurtdisi,CAI,Kahire Uluslararası Havalimanı,Kahire,Mısır,Egyptair,3. Terminal,,both,EgyptAir,Hizmet saatleri: 7 gün 24 saat
yurtdisi,CAN,Baiyun Uluslararası Havalimanı,Guanco (Guangzhou),Çin,Star Alliance Lounge,1. Terminaller,,both,Star Alliance,Hizmet saatleri: 7 gün 24 saat
yurtdisi,CCS,Simon Bolivar Uluslararası Havalimanı,Karakas,Venezuela,Aero VIP,Uluslararası Gidiş Terminali,,both,,Hizmet saatleri: Uçuş zamanları
yurtdisi,CDG,Charles de Gaulle Havalimanı,Paris,Fransa,Extime Lounge,T2E,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,CDG,Charles de Gaulle Havalimanı,Paris,Fransa,Star Alliance Lounge,1. Terminal,,both,Star Alliance,Hizmet saatleri: 05:30 - 22:00
yurtdisi,CEB,Mactan-Cebu Uluslararası Havalimanı,Cebu,Filipinler,Plaza Premium,2. Terminal,,both,Plaza Premium,"Hizmet saatleri: 1:00-14:00 (Pzt, Çar, Cum); 8:00-14:00 (Sal, Per, Cmt, Paz)"
yurtdisi,CGK,Soekarno-Hatta Uluslararası Havalimanı,Cakarta,Endonezya,PLAZA PREMIUM LOUNGE,3. Terminal,,both,Plaza Premium,Hizmet saatleri: Pzt 03:00-11:00/15:00-24:00; Sal 03:00-24:00; Çar 04:00-11:00/13:00-24:00; Per 04:00-14:00/16:00-24:00; Cum 03:00-11:00/15:00-24:00; Cmt 00:00-14:00/16:00-24:00; Paz 04:00-14:00/16:00-24:00
yurtdisi,CGN,Bonn Havalimanı,Köln,Almanya,The Lounge,1. Terminal,,both,,Hizmet saatleri: 5:00 - 22:00
yurtdisi,CKY,Ahmed Sékou Touré Uluslararası Havalimanı,Konakri,Gine,Salon Nimba,1. Terminal,,both,,Hizmet saatleri: Paz 6:00-12:00; Pzt 12:00-00:00; Sal 14:00-2:00; Çar 18:00-12:00; Per 7:00-16:00; Cum 6:00-12:00; Cmt 3:00-21:00
yurtdisi,CLJ,Cluj Uluslararası Havaalanı,Cluj,Romanya,Protocol Business Lounge,Uluslararası Terminali,,both,,Hizmet saatleri: 05:00 - 19:00
yurtdisi,CMB,Bandaranaike Uluslararası Havalimanı,Katunayake (Kolombo),Sri Lanka,Araliya,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,CMN,Muhammed V Uluslararası Havalimanı,Kazablanka,Fas,Le Zénith I,Terminal 1,,both,,Hizmet saatleri: 7/24 hours
yurtdisi,COO,Cotonou Havalimanı,Cotonou,Benin,Lounge Ahs,Ana Terminal,,both,,Hizmet saatleri: Uçuş zamanları
yurtdisi,CPH,Kopenhag Kastrup Havalimanı,Kopenhag,Danimarka,Pearl Lounge,3. Terminal,,both,,Hizmet saatleri: 05.30 - 20.00
yurtdisi,CPT,Cape Town Uluslararası Havalimanı,Cape Town,Güney Afrika,Bidvest Premier,Dış Hatlar Terminali,,both,Bidvest,Hizmet saatleri: 04:00 - 00:30
yurtdisi,CTA,Katanya Fontanarossa Havalimanı,Katanya,İtalya,Lounge Sac,A Terminali,,both,,Hizmet saatleri: 6:30 - 21:00
yurtdisi,CUN,Cancun Havalimanı,Cancun,Meksika,VIP Lounge by Mera,Terminal 4 - 67A Kapısı yanı,,both,,Hizmet saatleri: 6:30 – 21:30
yurtdisi,DAC,Hazret Shahjalal Uluslararası Havalimanı,Dakka,Bangladeş,EBL Sky Lounge,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,DAR,Dar Es Salaam Uluslararası Havalimanı,Dar Es Selam,Tanzanya,Twiga Lounge,3. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,DBV,Dubrovnik Havalimanı,Dubrovnik,Hırvatistan,Business,C Terminali,,both,,Hizmet saatleri: 5:00 - 22:00
yurtdisi,DEL,Indira Gandhi Uluslararası Havalimanı,New Delhi,Hindistan,Encalm Lounge,3. Terminal,,both,Encalm,Hizmet saatleri: 7 gün 24 saat
yurtdisi,DEN,Denver Uluslararası Havalimanı,Denver,ABD,United Airlines Lounge,5. Terminali,,both,United Airlines,Hizmet saatleri: 6:30 - 20:00
yurtdisi,DFW,Dallas/Fort Worth Uluslararası Havalimanı,Dallas,ABD,Capital One,D Terminali (D22 Kapısı Yanı),,both,,Hizmet saatleri: 6:00 - 21:00
yurtdisi,DLA,Douala Uluslararası Havalimanı,Douala,Kamerun,Mtn Lounge Doualair,1. Terminal,,both,,Hizmet saatleri: Uçuş Saatleri
yurtdisi,DMM,Kral Fahd Uluslararası Havalimanı,Dammam,Suudi Arabistan,Plaza Premium,Single Terminal,,both,Plaza Premium,Hizmet saatleri: 7 gün 24 saat
yurtdisi,DOH,Hamad Uluslararası Havalimanı,Doha,Katar,Oryx,Ana Terminal,,both,Qatar Airways,Hizmet saatleri: 7 gün 24 saat
yurtdisi,DOH,Hamad Uluslararası Havalimanı,Doha,Katar,Oryx Lounge,North Node,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,DPS,Ngurah Rai Uluslararası Havalimanı,Denpasar,Endonezya,Tujuwan Lounge,Dış Hatlar Gidiş Terminali,,both,,Hizmet saatleri: 04.00 – 02.00 yerel saat
yurtdisi,DSS,Blaise Diagne Uluslararası Havalimanı,Dakar,Senegal,Odyssee - Infinite - Topkapi,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,DTW,Detroit Metropolitan Havalimanı,Detroit,ABD,Lufthansa Lounge,Evans Terminali,,both,Lufthansa,Hizmet saatleri: Uçuş Saatlerinde
yurtdisi,DUR,Kral Shaka Uluslararası Havalimanı,Durban,Güney Afrika,Umphafa,International Terminal,,both,,Hizmet saatleri: 07:00 - 21:00
yurtdisi,DUS,Rhein Ruhr Uluslararası Havalimanı,Düsseldorf,Almanya,Open Sky,A-B-C Terminalleri,,both,,Hizmet saatleri: 4:00 - 19:40
yurtdisi,DXB,Dubai Uluslararası Havalimanı,Dubai,Birleşik Arap Emirlikleri,Ahlan Lounge,T1 - C,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,DXB,Dubai Uluslararası Havalimanı,Dubai,Birleşik Arap Emirlikleri,Marhaba Lounge,1. Terminal,,both,Marhaba,Hizmet saatleri: 7 gün 24 saat
yurtdisi,EBB,Entebbe Uluslararası Havalimanı,Entebbe,Uganda,Karibu,1. Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,EBL,Erbil Havalimanı,Erbil,Irak,Newroz Business Class,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,ECN,Ercan Havalimanı,Lefkoşa,Kuzey Kıbrıs Türk Cumhuriyeti,PARAMARIBO,"1. Terminal, 2. kat",,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,EDI,Edinburgh Uluslararası Havalimanı,Edinburgh,Birleşik Krallık (İskoçya),Turkish Airlines Lounge,"Havalimanı Kat 2, 16 Nolu kapı yanı / Ana Terminal",,both,Turkish Airlines,04:00-22:00. Anlaşmalı listede İskoçya başlığı altında da var · Hizmet saatleri: 04:00 - 22:00. THY'nin kendi salonu; yurtdışı listesinde de var
yurtdisi,EWR,Newark Liberty Uluslararası Havalimanı,Newark,ABD,Air France,B Terminali,,both,Air France,Hizmet saatleri: 21:00 – 24:00
yurtdisi,EZE,Ezeiza Uluslararası Havalimanı (EZE),Buenos Aires,Arjantin,Star Alliance Lounge,T1,,both,Star Alliance,Hizmet saatleri: 7 gün 24 saat
yurtdisi,FCO,Fiumicino - Leonardo Da Vinci Havalimanı,Roma,İtalya,Plaza Premium,3. Terminal - Gidiş Kısmı,,both,Plaza Premium,Hizmet saatleri: 5:30 - 22:30
yurtdisi,FIH,N'Djili Uluslararası Havalimanı,Kinşasa,Demokratik Kongo,Salon VIP,Uluslararası Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,FNA,Lungi Uluslararası Havalimanı,Freetown,Sierra Leone,Mcleod Airport Lounge,Ana Terminal,,both,,Hizmet saatleri: 7 gün 24 saat
yurtdisi,FRA,Frankfurt Havalimanı,Frankfurt,Almanya,Ac Maple Leaf,1. Terminal,,both,Air Canada,Hizmet saatleri: 6:00 - 16:30
yurtdisi,FRA,Frankfurt Havalimanı,Frankfurt,Almanya,Lufthansa Business B-Ost,1. Terminal,,both,Lufthansa,Hizmet saatleri: 6:00 - 14:00
yurtdisi,FRA,Frankfurt Havalimanı,Frankfurt,Almanya,LuxxLounge,T1 - A,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,FRA,Frankfurt Havalimanı,Frankfurt,Almanya,Sky Lounge,T2 - D/E,,both,,lounges tablosundan otomatik aktarildi (086)
yurtdisi,FRU,Manas Uluslararası Havalimanı,Bişkek,Kırgızistan,Business Lounge,(SS'te '-' yazıyor),,both,,Hizmet saatleri: 7 gün 24 saat. Bölge/terminal bilgisi SS'te boş
